Ticker,F1_Score,MDD_Mercado_%,MDD_Agente_%,Riesgo_Reducido
FMB,0.3,-0.48,-0.48,No
FNCL,0.7333,-0.27,-0.27,Sí
FNDA,0.5,-0.64,-0.64,Sí
FNDB,0.7667,-0.52,0.0,Sí
FNDE,0.6667,0.0,0.0,No
FNDF,0.3,-0.38,-0.38,Sí
FNDX,0.7667,-0.62,0.0,Sí
FNX,0.7667,-0.73,0.0,Sí
FNY,0.3,-0.57,-0.57,No
FPE,0.3333,-0.82,0.0,Sí
FPEI,0.1,-0.22,0.0,Sí
FPXI,0.7333,-1.26,-0.53,Sí
FSMB,0.2,-0.2,0.0,Sí
FSMD,0.7667,-0.82,0.0,Sí
FSTA,0.2,-0.82,-0.82,Sí
FTCS,0.7667,-0.09,0.0,Sí
FTEC,0.5,-0.85,-0.17,Sí
FTLS,0.5,-0.2,0.0,Sí
FTSL,0.8571,0.0,0.0,No
FTXL,0.2,-2.06,-2.06,Sí
FTXN,0.5,-4.96,-4.96,No
